Run,Event,E1,px1 ,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
146514,290316240,12.3576,-0.949225,6.73527,10.3172,6.80183,1.20407,1.71081,1,20.761,-13.297,6.72744,14.455,14.902,0.860005,2.67321,-1,9.94853
146514,425947117,11.7866,2.07015,-2.46659,-11.3382,3.22019,-1.97146,-0.87256,-1,50.1356,-11.9194,-2.70233,-48.6231,12.2219,-2.08945,-2.91864,-1,10.7369
146514,427548476,17.973,-2.2273,4.48067,-17.2624,5.00373,-1.95187,2.03211,1,99.3917,-25.562,3.37507,-95.9891,25.7838,-2.0252,3.01032,1,10.7057
146514,254251325,15.1405,13.8683,-1.39326,-5.91289,13.9382,-0.412431,-0.100128,-1,13.2996,7.70607,6.77281,-8.46313,10.2594,-0.752008,0.72103,-1,10.3814
146514,129955430,8.93329,4.40431,0.880893,7.72203,4.49154,1.31053,0.197402,-1,16.1802,12.5251,-6.49777,7.9184,14.1103,0.535254,-0.478559,-1,8.24088
146514,18601722,56.1636,18.9261,12.1819,51.4563,22.5077,1.56475,0.571904,-1,11.681,3.14084,-2.16303,11.0409,3.81361,1.78475,-0.603088,1,10.4716
146514,20426090,6.69826,3.35105,3.21491,4.82716,4.64383,0.909015,0.764666,1,26.0393,-9.32036,15.9879,18.3184,18.5063,0.874178,2.09859,1,11.4739
146514,150587901,3.80125,-0.553061,-3.00089,-2.26677,3.05143,-0.687423,-1.75305,-1,10.3789,-1.83192,-3.35367,9.64976,3.82139,1.65655,-2.07075,-1,10.0249
146514,445292230,10.8527,-6.98835,-5.3411,6.35744,8.7957,0.671236,-2.48901,-1,14.0185,-3.80523,0.501204,13.4828,3.8381,1.96926,3.01063,-1,9.22029
146514,446271168,50.7923,13.9382,8.44193,-48.1073,16.2954,-1.80322,0.544576,-1,36.1772,11.5577,-1.19188,-34.2606,11.619,-1.80209,-0.102761,1,8.75265
146514,147593403,5.497,-3.71837,-4.04842,0.0309824,5.49691,0.00563631,-2.31372,-1,14.6074,1.44793,-11.8107,-8.47266,11.8991,-0.662503,-1.44881,-1,8.7325
146514,66275582,67.7749,30.7517,-22.2449,56.151,37.9539,1.18331,-0.62624,-1,9.24885,1.32155,-3.10364,8.61175,3.37329,1.66671,-1.16824,-1,8.19772
146514,441595672,5.16318,-2.56175,-2.13544,-3.94154,3.33507,-1.0043,-2.4467,1,50.3606,-11.9665,6.79208,-48.4444,13.7597,-1.9714,2.62535,1,10.2882
146514,381706215,20.2785,0.536674,-5.52689,19.5034,5.55288,1.96909,-1.474,1,60.4324,15.8863,-2.29146,58.2619,16.0507,2.0008,-0.143253,-1,11.6604
146514,488638474,3.53989,-2.8494,2.03849,-0.506226,3.5035,-0.143993,2.5206,-1,29.6993,-4.48347,6.49145,-28.6323,7.88926,-2.00064,2.17523,1,11.3692
146514,490042193,25.9802,1.75171,19.1433,-17.4766,19.2233,-0.815643,1.47955,-1,13.1335,6.74389,9.83108,-5.50978,11.9218,-0.447112,0.969544,1,9.47671
146514,349065319,25.084,-3.52384,-15.2883,19.5719,15.6892,1.04602,-1.79733,1,9.76059,2.74675,-2.17735,9.10953,3.50507,1.68337,-0.670274,1,9.26664
146514,352134262,10.6045,4.3937,-1.14426,-9.58338,4.54026,-1.4921,-0.254772,-1,25.533,5.85493,10.1284,-22.6951,11.6989,-1.41644,1.04666,1,8.84679
146514,468602139,40.6466,18.4765,11.0211,34.4862,21.5139,1.25056,0.537835,1,9.75498,4.18897,-2.38691,8.48026,4.82128,1.33032,-0.517925,1,10.2921
146514,410528584,21.257,-7.96067,14.3344,13.5283,16.3965,0.752126,2.07774,1,9.48663,2.78565,2.33715,8.76208,3.63622,1.61315,0.69807,-1,11.983
146514,303803511,14.2742,0.863309,-3.62919,-13.7781,3.73046,-2.01754,-1.33726,1,58.216,-13.7732,-4.03362,-56.4193,14.3517,-2.07789,-2.8567,1,10.0884
146514,3287094,13.5643,-4.96272,-9.37904,8.44964,10.6111,0.72978,-2.05747,1,17.6985,-14.5505,-9.19611,4.11698,17.213,0.236955,-2.57797,-1,9.6768
146514,418723582,19.154,-4.37375,1.97612,-18.5429,4.79946,-2.06108,2.71723,-1,55.6893,-8.43776,18.8934,-51.7024,20.6919,-1.64674,1.99082,1,8.21181
