Run,Event,E,px,py,pz,pt,eta,phi,Q,MET,phiMET,Mt
146944,109019570,35.93,10.97,34.06,3.21,35.79,0.09,1.26,-1,40.63,-1.82,76.22
146944,111293264,53.17,-35.66,22.68,-32.26,42.27,-0.70,2.58,1,23.70,-0.95,62.11
146944,110239978,35.26,12.01,33.00,-3.13,35.12,-0.09,1.22,1,31.03,-2.10,65.77
146944,110425594,70.27,-2.09,25.66,65.38,25.75,1.66,1.65,1,36.72,-1.50,61.50
146944,111310827,33.84,33.28,6.00,-1.31,33.81,-0.04,0.18,-1,31.73,-2.98,65.50
146944,112365884,34.95,32.02,-13.79,2.46,34.87,0.07,-0.41,1,41.60,2.35,74.78
146944,112800006,90.51,-35.67,-1.75,83.16,35.71,1.58,-3.09,-1,47.87,0.51,80.49
146944,113350153,72.28,-31.01,12.10,64.15,33.29,1.41,2.77,1,37.18,-0.46,70.29
146944,113409193,34.24,-8.84,28.39,-16.96,29.74,-0.54,1.87,1,42.65,-1.14,71.07
146944,113323702,63.70,-2.83,-34.08,-53.74,34.20,-1.23,-1.65,-1,40.63,1.40,74.47
146944,114459687,58.99,24.07,29.07,-45.34,37.74,-1.02,0.88,1,35.95,-2.12,73.49
146944,113966768,136.21,29.73,23.21,-130.88,37.72,-1.96,0.66,1,44.77,-2.36,82.05
146944,114481568,42.48,29.10,-27.79,13.61,40.24,0.33,-0.76,-1,32.09,1.86,69.44
146944,114837578,60.59,26.26,-1.22,54.59,26.29,1.48,-0.05,-1,50.61,2.94,72.74
146944,115905910,100.75,-25.59,14.83,96.31,29.57,1.90,2.62,1,38.81,-0.62,67.68
146944,115900991,58.76,-7.97,29.96,49.91,31.00,1.25,1.83,1,27.81,-1.37,58.70
146944,115180352,30.29,-9.94,-23.93,15.69,25.91,0.57,-1.96,-1,71.26,-0.01,71.14
146944,116354934,97.26,41.10,-26.31,-84.13,48.80,-1.31,-0.57,-1,29.23,2.31,74.90
146944,117670494,46.65,43.22,15.43,8.35,45.89,0.18,0.34,-1,49.13,-2.77,94.96
146944,117368815,127.10,-13.25,41.87,119.27,43.92,1.72,1.88,1,37.50,-1.41,80.94
146944,116402000,79.33,-44.43,5.13,-65.52,44.73,-1.18,3.03,1,41.52,-0.05,86.15
146944,117030705,40.13,-17.94,-35.88,1.22,40.11,0.03,-2.03,-1,34.60,0.91,74.16
146944,119113900,69.82,-32.41,7.12,61.43,33.18,1.38,2.93,1,33.24,0.02,65.97
146944,118719317,50.39,-28.05,-3.61,-41.71,28.28,-1.18,-3.01,1,23.11,-0.31,49.90
146944,118510854,125.05,-36.26,20.40,117.93,41.60,1.76,2.63,-1,39.02,-0.67,80.34
146944,118556766,42.29,23.71,27.53,21.64,36.33,0.56,0.86,-1,46.88,-1.64,78.40
146944,118543816,41.02,15.35,22.09,-30.97,26.90,-0.98,0.96,1,26.13,-1.70,51.49
146944,118025626,43.07,23.94,14.44,-32.76,27.95,-1.00,0.54,1,27.42,-2.47,55.26
146944,119362532,55.80,-43.69,0.13,-34.70,43.69,-0.73,3.14,1,20.25,-0.59,56.93
146944,120567328,91.89,25.49,-18.04,86.43,31.22,1.74,-0.62,1,37.56,2.84,67.64
146944,119859040,40.85,-16.94,34.51,13.79,38.45,0.35,2.03,-1,36.53,-1.22,74.86
146944,119295898,71.13,37.55,60.23,4.75,70.98,0.07,1.01,1,79.05,-2.02,149.57
146944,120520519,46.59,-25.27,15.92,35.76,29.86,1.01,2.58,1,33.64,-0.76,63.09
146944,121990946,42.32,18.27,19.27,32.95,26.55,1.04,0.81,1,81.84,-1.27,80.55
146944,122171618,72.47,45.70,-28.40,48.55,53.81,0.81,-0.56,1,58.89,-2.38,89.14
146944,121384971,90.73,-32.52,13.07,83.69,35.05,1.60,2.76,1,38.13,-0.27,73.00
146944,121344894,107.99,43.79,26.81,95.00,51.35,1.37,0.55,-1,41.66,-2.75,92.20
146944,120884751,144.04,-34.76,17.29,-138.71,38.83,-1.99,2.68,1,44.21,-0.43,82.85
146944,122077023,111.51,-26.79,30.69,-103.80,40.74,-1.66,2.29,1,48.96,-0.49,87.89
146944,122253412,59.78,26.95,28.51,45.11,39.23,0.98,0.81,1,37.51,-2.42,76.63
146944,122227469,62.33,-2.51,25.77,56.70,25.89,1.53,1.67,1,41.89,-1.59,65.75
146944,122415959,116.56,-22.26,-34.15,109.20,40.76,1.71,-2.15,-1,39.25,0.88,79.87
146944,124734869,48.43,-14.50,39.76,-23.53,42.32,-0.53,1.92,-1,26.59,-1.03,66.80
146944,125100030,105.24,15.67,30.96,99.36,34.70,1.77,1.10,1,29.67,-1.71,63.31
146944,124536631,37.37,35.91,-7.20,7.42,36.63,0.20,-0.20,1,49.71,-2.91,83.37
146944,125656592,31.34,24.45,-8.62,17.61,25.92,0.64,-0.34,1,30.45,3.12,55.48
146944,125844339,113.26,-35.80,-28.30,-103.66,45.63,-1.56,-2.47,1,38.84,0.54,84.02
146944,125750751,181.50,49.29,-20.84,173.43,53.52,1.89,-0.40,-1,30.94,2.40,80.16
146944,127610192,50.94,-8.15,-37.83,33.14,38.69,0.78,-1.78,1,40.16,1.43,78.78
146944,130803027,54.14,14.34,-31.79,-41.41,34.88,-1.01,-1.15,1,30.08,2.00,64.78
146944,130196392,59.61,-19.49,-45.28,-33.51,49.30,-0.64,-1.98,-1,15.20,0.66,52.99
146944,130601256,118.00,-30.70,7.85,113.66,31.69,1.99,2.89,1,31.58,-0.05,62.93
146944,130014249,95.67,34.70,1.65,-89.14,34.74,-1.67,0.05,1,26.94,2.82,60.13
146944,570893625,69.46,7.93,46.74,50.76,47.41,0.93,1.40,1,43.39,-1.77,90.70
146944,571535329,145.18,-5.75,-39.73,-139.53,40.14,-1.96,-1.71,1,46.73,1.22,86.15
146944,570992396,43.89,34.99,18.88,18.59,39.76,0.45,0.49,-1,49.98,-2.87,88.61
146944,570737853,51.56,-37.47,-4.47,35.14,37.73,0.83,-3.02,1,39.99,-0.11,77.19
146944,570327999,38.86,-29.95,-8.05,23.42,31.01,0.70,-2.88,-1,27.93,0.10,58.66
146944,572659626,42.12,-30.98,-7.04,27.66,31.77,0.79,-2.92,1,27.97,0.26,59.60
146944,572952211,54.75,-15.41,30.53,42.76,34.20,1.05,2.04,-1,41.02,-1.06,74.89
146944,572461556,39.29,-28.22,18.95,-19.71,33.99,-0.55,2.55,-1,29.21,-0.67,62.98
146944,571858485,133.19,36.68,10.52,-127.61,38.16,-1.92,0.28,-1,36.32,-2.78,74.40
146944,572777517,77.51,-10.72,34.53,-68.56,36.16,-1.40,1.87,1,39.50,-1.62,74.39
146944,571930150,45.61,-27.00,18.66,31.67,32.82,0.86,2.54,1,46.20,-0.56,77.87
146944,574049994,33.37,-20.17,26.26,4.18,33.11,0.13,2.23,-1,19.62,-0.19,47.68
