Type,Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
GSF-GSF,142137,144009523,10.9480357228,-2.76219246117,1.31686658742,10.5116906882,3.06004,1.94775,2.69672,1,110.992971992,2.40395827932,30.3563625382,-106.73402489,30.4514,-1.96711,1.49177,1,67.8789362623
GSF-GSF,142137,144009523,10.9480357228,-2.76219246117,1.31686658742,10.5116906882,3.06004,1.94775,2.69672,1,13.7999868664,-6.48555724767,0.549093730453,12.168635113,6.50876,1.38374,3.05713,-1,3.01077415941
GSF-GSF,142137,144009523,10.9480357228,-2.76219246117,1.31686658742,10.5116906882,3.06004,1.94775,2.69672,1,9.1612127718,-2.01415906647,1.59570184479,8.7934474506,2.56965,1.94408,2.4716,-1,0.630021960124
GSF-GSF,142137,8216898,96.9649756179,-38.4409500257,35.5119564384,-81.6296564207,52.3336,-1.22748,2.39578,-1,48.1291249164,14.9666326996,-33.7083420565,-30.9218409283,36.8816,-0.76238,-1.15294,1,88.4882017875
GSF-GSF,142137,115569013,87.9817625762,44.1682929771,-3.2102035028,-76.0239898631,44.2848,-1.30926,-0.0725536,1,140.032636785,-40.5457122347,-8.44817682309,-133.767757297,41.4165,-1.88872,-2.93617,-1,88.4813438878
GSF-GSF,142187,92327553,161.80249701,-31.7370858063,-53.2730915995,149.4482624,62.0102,1.6133,-2.10808,1,116.666933045,25.0546422153,21.5846338277,111.881820471,33.0701,1.93312,0.711134,-1,90.5704027463
GSF-GSF,142189,130030873,42.1279439768,-29.2078160682,-23.5932859681,-19.1056013044,37.5465,-0.489115,-2.46213,-1,41.9318125299,30.9572760898,23.5773614722,-15.6215231296,38.9133,-0.391376,0.65089,1,76.5310958275
GSF-GSF,142189,121149731,22.9083573425,-5.58337544857,19.2554480748,11.0836128545,20.0486,0.527965,1.85302,1,89.3637686246,0.790616903769,-22.5242286554,-86.474951234,22.5381,-2.05436,-1.53571,-1,82.9910893142
GSF-GSF,142189,156776171,176.730590057,43.0203944778,0.64303500027,171.413341449,43.0252,2.09083,0.0149461,1,143.616895527,-33.3528476054,6.91675233467,139.519026567,34.0625,2.11773,2.93711,-1,76.111511566
GSF-GSF,142189,107262578,231.388698966,43.5642633493,-37.3906814438,-224.153567692,57.41,-2.07127,-0.709286,-1,201.404512081,12.1177267388,41.484409393,-196.712943048,43.218,-2.22049,1.2866,1,84.0482066321
GSF-GSF,142189,74250285,45.5885912179,-7.97030807934,-43.7769528483,9.91827794588,44.4966,0.221094,-1.75089,-1,48.1570275053,14.7070716626,37.5594338822,-26.3076085466,40.3362,-0.613075,1.19758,1,91.8454644856
GSF-GSF,142191,19555385,114.025506532,-4.36812830456,-31.8270447933,109.406466054,32.1254,1.93946,-1.70719,1,37.2064405024,9.74073912929,33.1130224718,13.8911827644,34.516,0.392315,1.2847,-1,87.3972134221
GSF-GSF,142191,41148625,32.3205108232,-2.10304449748,30.1570595704,11.4343509446,30.2303,0.369758,1.64042,-1,128.495548795,1.51056926996,-35.7095645833,123.424678398,35.7415,1.9528,-1.52852,1,87.4280612683
GSF-GSF,142191,112460925,27.0885019819,13.3310333021,7.20100921109,-22.4547535459,15.1516,-1.18474,0.495264,-1,38.325854456,20.7028420478,-11.7093570354,-30.052527489,23.7848,-1.05601,-0.514735,-1,18.5308821989
GSF-GSF,142191,112460925,143.445693649,-87.8557635454,-24.9224254267,-110.62054307,91.3223,-1.0232,-2.86518,1,38.325854456,20.7028420478,-11.7093570354,-30.052527489,23.7848,-1.05601,-0.514735,-1,86.0266270885
GSF-GSF,142191,112460925,143.445693649,-87.8557635454,-24.9224254267,-110.62054307,91.3223,-1.0232,-2.86518,1,27.0885019819,13.3310333021,7.20100921109,-22.4547535459,15.1516,-1.18474,0.495264,-1,74.1949681571
GSF-GSF,142191,112460925,24.001978362,11.0932219839,6.88852596837,-20.139106262,13.058,-1.21799,0.555694,1,38.325854456,20.7028420478,-11.7093570354,-30.052527489,23.7848,-1.05601,-0.514735,-1,18.2024323955
GSF-GSF,142191,112460925,24.001978362,11.0932219839,6.88852596837,-20.139106262,13.058,-1.21799,0.555694,1,27.0885019819,13.3310333021,7.20100921109,-22.4547535459,15.1516,-1.18474,0.495264,-1,0.970072473927
GSF-GSF,142191,112460925,24.001978362,11.0932219839,6.88852596837,-20.139106262,13.058,-1.21799,0.555694,1,143.445693649,-87.8557635454,-24.9224254267,-110.62054307,91.3223,-1.0232,-2.86518,1,68.7235596582
GSF-GSF,142191,25487594,6.41038662811,1.23604062828,-3.64644369528,5.12530081099,3.85024,1.09731,-1.24398,-1,73.9927817906,-40.8148108706,54.9074844976,-28.1824611523,68.4155,-0.40109,2.21002,1,41.6996821419
